,Time,Position
0,1654101087.181574,right Side
1,1654101087.8707356,front
2,1654101088.02033,front
3,1654101088.978555,right Side
4,1654101089.1266186,right Side
5,1654101089.2721777,right Side
6,1654101089.4237282,right Side
7,1654101089.57176,right Side
8,1654101089.7177951,right Side
9,1654101089.9538527,front
10,1654101090.1009102,front
11,1654101090.248936,front
12,1654101090.394978,front
13,1654101090.5415447,front
14,1654101090.6875842,front
15,1654101090.8366156,front
16,1654101090.9826505,front
17,1654101091.1326818,front
18,1654101091.2787333,front
19,1654101091.427177,front
20,1654101091.5753386,front
21,1654101091.7233717,front
22,1654101091.8764074,front
23,1654101092.0219457,front
24,1654101092.1689942,front
25,1654101092.3180113,front
26,1654101092.4650476,front
27,1654101092.6130793,front
28,1654101092.7623022,front
29,1654101092.909148,front
30,1654101093.0552077,front
31,1654101093.2012665,front
32,1654101093.3482795,front
33,1654101093.4962897,front
34,1654101093.6433249,front
35,1654101093.7883556,front
36,1654101093.9373913,front
37,1654101094.0834386,front
38,1654101094.2310536,front
39,1654101094.3780882,front
40,1654101094.5285718,front
41,1654101094.6736171,front
42,1654101094.8286366,front
43,1654101094.9766698,front
44,1654101095.1277044,front
45,1654101095.2757545,front
46,1654101095.4237895,front
47,1654101095.572014,front
48,1654101095.7178562,front
49,1654101095.867873,front
50,1654101096.0134163,front
51,1654101096.1604493,front
52,1654101096.3071375,front
53,1654101096.4530358,front
54,1654101096.6004143,front
55,1654101096.7464461,front
56,1654101096.8924968,front
57,1654101097.0395138,front
58,1654101097.1895473,front
59,1654101097.3352275,front
60,1654101097.482246,front
61,1654101097.628329,front
62,1654101097.7738998,front
63,1654101097.9199293,front
64,1654101098.0683193,front
65,1654101098.2193534,front
66,1654101098.3658218,front
67,1654101098.5118523,front
68,1654101098.6588862,front
69,1654101098.8039346,front
70,1654101098.949971,front
71,1654101099.0951593,front
72,1654101099.2451966,front
73,1654101099.3912563,front
74,1654101099.5383046,front
75,1654101099.6843374,front
76,1654101099.8303707,front
77,1654101099.9784539,front
78,1654101100.125486,front
79,1654101100.27652,front
80,1654101100.424065,front
81,1654101100.5710993,front
82,1654101100.7171335,front
83,1654101100.863165,front
84,1654101101.0094697,front
85,1654101101.1552489,front
86,1654101101.301426,front
87,1654101101.4474666,front
88,1654101101.5924923,front
89,1654101101.7375238,front
90,1654101101.8870695,front
91,1654101102.033099,front
92,1654101102.1781375,front
93,1654101102.3243048,front
94,1654101102.4745028,front
95,1654101102.6207054,front
96,1654101102.7667356,front
97,1654101102.9137557,front
98,1654101103.0597868,front
99,1654101103.206821,front
100,1654101103.3532355,front
101,1654101103.5052707,front
102,1654101103.6533196,front
103,1654101103.797649,front
104,1654101103.951764,front
105,1654101104.096798,front
106,1654101104.2448318,front
107,1654101104.3898654,front
108,1654101104.5382335,front
109,1654101104.6849325,front
110,1654101104.8329642,front
111,1654101104.9819996,front
112,1654101105.3070729,front
113,1654101105.4554002,front
114,1654101105.6024306,front
115,1654101105.750304,front
116,1654101105.8953488,front
117,1654101106.0428743,front
118,1654101106.1919081,front
119,1654101106.3389373,front
120,1654101106.4839706,front
121,1654101106.6320057,front
122,1654101106.779916,front
123,1654101106.9259653,front
124,1654101107.0730455,front
125,1654101107.2196214,front
126,1654101107.366658,front
127,1654101107.512849,front
128,1654101107.6588984,front
129,1654101107.807914,front
130,1654101107.9549482,front
131,1654101108.100918,front
132,1654101108.2489984,front
133,1654101108.39603,front
134,1654101108.5433078,front
135,1654101108.6903393,front
136,1654101108.8424904,front
137,1654101108.9895236,front
138,1654101109.1365724,front
139,1654101109.28218,front
140,1654101109.4296982,front
141,1654101109.57675,front
142,1654101109.722465,front
143,1654101109.8684976,front
144,1654101110.021534,front
145,1654101110.1695676,front
146,1654101110.3156226,front
147,1654101110.468658,front
148,1654101110.615674,front
149,1654101110.7627063,front
150,1654101110.9079363,front
151,1654101111.0559685,front
152,1654101111.2022605,front
153,1654101111.348308,front
154,1654101111.497327,front
155,1654101111.643096,front
156,1654101111.7881272,front
